test_type,target_n,h,direct_depth,tested_depth,residual_nonempty,max_states_in_layer,elapsed_seconds
window,3,2,2,1,False,1,0.000058
window,3,2,2,2,True,1,0.000100
window,3,2,2,3,False,1,0.000065
window,3,2,2,4,False,1,0.000064
window,5,2,1,1,True,1,0.000033
window,5,2,1,2,False,1,0.000065
window,5,2,1,3,False,1,0.000075
window,7,3,5,3,False,1,0.000080
window,7,3,5,4,False,1,0.000105
window,7,3,5,5,True,1,0.000187
window,7,3,5,6,False,1,0.000220
window,7,3,5,7,False,2,0.000354
window,9,3,6,4,False,1,0.000102
window,9,3,6,5,False,1,0.000185
window,9,3,6,6,True,1,0.000222
window,9,3,6,7,False,2,0.000358
window,9,3,6,8,False,2,0.000447
window,11,3,4,2,False,1,0.000073
window,11,3,4,3,False,1,0.000098
window,11,3,4,4,True,1,0.000132
window,11,3,4,5,False,1,0.000172
window,11,3,4,6,False,2,0.000347
window,13,3,2,1,False,1,0.000032
window,13,3,2,2,True,1,0.000068
window,13,3,2,3,False,1,0.000100
window,13,3,2,4,False,1,0.000137
window,15,3,5,3,False,1,0.000116
window,15,3,5,4,False,1,0.000152
window,15,3,5,5,True,2,0.000305
window,15,3,5,6,False,2,0.000366
window,15,3,5,7,False,3,0.000486
window,17,3,3,1,False,1,0.000031
window,17,3,3,2,False,1,0.000066
window,17,3,3,3,True,1,0.000097
window,17,3,3,4,False,1,0.000140
window,17,3,3,5,False,2,0.000309
window,19,3,6,4,False,1,0.000139
window,19,3,6,5,False,2,0.000318
window,19,3,6,6,True,2,0.000404
window,19,3,6,7,False,3,0.000489
window,19,3,6,8,False,3,0.000601
window,21,3,1,1,True,1,0.000051
window,21,3,1,2,False,1,0.000082
window,21,3,1,3,False,1,0.000119
window,23,4,4,2,False,1,0.000067
window,23,4,4,3,False,1,0.000103
window,23,4,4,4,True,2,0.000204
window,23,4,4,5,False,2,0.000317
window,23,4,4,6,False,3,0.000440
window,25,4,7,5,False,2,0.000327
window,25,4,7,6,False,3,0.000448
window,25,4,7,7,True,3,0.000532
window,25,4,7,8,False,4,0.000749
window,25,4,7,9,False,4,0.000892
window,27,4,41,39,False,2541,1.718384
window,27,4,41,40,False,3718,2.672783
window,27,4,41,41,True,4045,3.033385
window,27,4,41,42,False,5446,4.123748
window,27,4,41,43,False,7216,5.440103
window,29,4,5,3,False,1,0.000133
window,29,4,5,4,False,2,0.000248
window,29,4,5,5,True,2,0.000337
window,29,4,5,6,False,3,0.000447
window,29,4,5,7,False,3,0.000556
window,31,4,39,37,False,1732,1.100785
window,31,4,39,38,False,2541,1.664445
window,31,4,39,39,True,2812,1.970067
window,31,4,39,40,False,3718,2.579360
window,31,4,39,41,False,4897,3.530086
window,33,4,8,6,False,3,0.000781
window,33,4,8,7,False,4,0.000938
window,33,4,8,8,True,4,0.000781
window,33,4,8,9,False,5,0.000946
window,33,4,8,10,False,6,0.001352
window,35,4,3,1,False,1,0.000030
window,35,4,3,2,False,1,0.000065
window,35,4,3,3,True,2,0.000135
window,35,4,3,4,False,2,0.000241
window,35,4,3,5,False,3,0.000360
window,37,4,6,4,False,2,0.000244
window,37,4,6,5,False,3,0.000358
window,37,4,6,6,True,3,0.000446
window,37,4,6,7,False,4,0.000676
window,37,4,6,8,False,4,0.000837
window,39,4,11,9,False,5,0.000912
window,39,4,11,10,False,7,0.001497
window,39,4,11,11,True,7,0.001720
window,39,4,11,12,False,10,0.002298
window,39,4,11,13,False,13,0.003523
window,41,4,40,38,False,2541,1.711938
